Sorting Algorithm, Size, Swaps, Comparisons, Time Taken
Bubble Sort, 1000, 254554, 499500, 0.003000
Bubble Sort, 2000, 1001456, 1999000, 0.012000
Bubble Sort, 3000, 2237298, 4498500, 0.030000
Bubble Sort, 4000, 3934058, 7998000, 0.060000
Bubble Sort, 5000, 6138975, 12497500, 0.100000
Bubble Sort, 6000, 8833508, 17997000, 0.148000
Bubble Sort, 7000, 11949020, 24496500, 0.213000
Bubble Sort, 8000, 15847752, 31996000, 0.275000
Bubble Sort, 9000, 20218657, 40495500, 0.349000
Bubble Sort, 10000, 25154469, 49995000, 0.440000
Selection Sort, 1000, 999, 499500, 0.002000
Selection Sort, 2000, 1999, 1999000, 0.007000
Selection Sort, 3000, 2999, 4498500, 0.014000
Selection Sort, 4000, 3999, 7998000, 0.025000
Selection Sort, 5000, 4999, 12497500, 0.039000
Selection Sort, 6000, 5999, 17997000, 0.061000
Selection Sort, 7000, 6999, 24496500, 0.077000
Selection Sort, 8000, 7999, 31996000, 0.098000
Selection Sort, 9000, 8999, 40495500, 0.125000
Selection Sort, 10000, 9999, 49995000, 0.150000
Insertion Sort, 1000, 255552, 254554, 0.001000
Insertion Sort, 2000, 1003454, 1001456, 0.004000
Insertion Sort, 3000, 2240294, 2237298, 0.009000
Insertion Sort, 4000, 3938052, 3934058, 0.015000
Insertion Sort, 5000, 6143969, 6138975, 0.024000
Insertion Sort, 6000, 8839502, 8833508, 0.036000
Insertion Sort, 7000, 11956014, 11949020, 0.048000
Insertion Sort, 8000, 15855746, 15847752, 0.077000
Insertion Sort, 9000, 20227651, 20218657, 0.080000
Insertion Sort, 10000, 25164463, 25154469, 0.109000
Count Sort, 1000, 0, 0, 0.000000
Count Sort, 2000, 0, 0, 0.000000
Count Sort, 3000, 0, 0, 0.000000
Count Sort, 4000, 0, 0, 0.000000
Count Sort, 5000, 0, 0, 0.000000
Count Sort, 6000, 0, 0, 0.000000
Count Sort, 7000, 0, 0, 0.000000
Count Sort, 8000, 0, 0, 0.001000
Count Sort, 9000, 0, 0, 0.000000
Count Sort, 10000, 0, 0, 0.000000
